ticker,bb_window,rsi_window,rsi_smooth_window,rsi_upper_thres,rsi_lower_thres,macd_fast_ma_length,macd_slow_ma_length,macd_signal_ma_length
sh-600006,30,18,5,80,20,12,46,9
sh-600008,30,18,5,80,20,12,26,9
sh-600021,30,18,5,80,20,12,34,9
sh-600022,30,18,5,80,20,20,44,13
sh-600026,30,18,5,80,30,12,30,11
sh-600037,30,18,5,80,25,22,46,19
sh-600038,21,18,5,80,20,12,26,9
sh-600039,30,18,5,80,20,14,30,11
sh-600053,30,18,5,80,25,22,48,19
sh-600056,30,18,5,80,20,14,38,11
sh-600060,14,18,5,80,25,16,48,13
sh-600062,30,18,5,80,20,12,26,11
sh-600064,30,18,5,80,30,12,34,9
sh-600073,30,18,5,80,30,16,34,15
sh-600079,30,18,5,80,20,12,28,9
sh-600089,30,18,5,80,25,20,46,19
sh-600094,21,18,5,80,20,22,48,17
sh-600120,30,18,5,80,20,12,28,11
sh-600126,14,18,5,80,20,12,26,9
sh-600131,21,18,5,80,20,20,44,19
sh-600132,30,18,5,80,30,22,48,19
sh-600141,30,18,5,80,20,18,40,17
sh-600143,14,18,5,80,25,18,44,11
sh-600153,30,18,5,80,20,14,32,9
sh-600155,21,18,5,80,20,12,26,9
sh-600158,21,18,5,80,20,12,36,9
sh-600160,30,18,5,80,20,18,48,15
sh-600166,14,6,3,80,25,14,34,13
sh-600167,30,18,5,80,20,22,48,15
sh-600170,30,18,5,80,20,12,40,11
sh-600171,21,18,5,80,20,18,42,9
sh-600188,30,18,5,80,25,14,32,11
sh-600195,14,18,5,70,20,22,48,15
sh-600201,14,14,5,75,20,12,32,11
sh-600216,14,18,5,80,20,12,38,9
sh-600219,14,18,5,80,20,18,42,15
sh-600256,30,18,5,80,25,18,38,11
sh-600258,30,18,5,80,20,12,32,9
sh-600259,14,18,5,80,25,14,36,11
sh-600260,21,18,5,80,20,22,48,19
sh-600266,30,18,5,80,20,14,36,11
sh-600273,30,18,5,80,25,16,46,15
sh-600277,14,18,5,80,20,12,26,9
sh-600282,30,18,5,80,25,12,40,9
sh-600291,21,14,5,75,25,22,48,19
sh-600307,30,18,5,80,30,16,48,13
sh-600312,30,18,5,70,20,18,38,15
sh-600315,30,18,5,80,20,12,36,9
sh-600316,14,18,5,80,20,12,48,11
sh-600325,30,18,5,80,30,14,32,11
sh-600329,21,18,5,80,20,22,48,19
sh-600338,30,18,5,80,20,22,48,19
sh-600339,30,18,5,80,20,22,48,19
sh-600348,30,18,5,80,20,16,36,15
sh-600350,30,18,5,80,30,22,48,17
sh-600372,21,18,5,80,25,12,32,11
sh-600373,30,18,5,80,20,12,26,9
sh-600376,30,18,5,80,20,12,40,9
sh-600380,30,18,5,80,25,22,48,19
sh-600388,21,14,3,75,25,16,48,11
sh-600392,21,6,3,70,20,22,48,15
sh-600398,30,18,5,80,30,18,42,17
sh-600409,14,18,5,80,20,18,48,17
sh-600410,14,18,5,80,20,12,26,11
sh-600415,30,18,5,80,20,16,36,11
sh-600418,14,18,5,80,20,22,48,19
sh-600426,30,18,5,80,20,22,48,19
sh-600435,21,18,5,80,20,16,34,11
sh-600446,14,18,5,80,20,14,38,9
sh-600460,30,18,5,80,20,18,40,9
sh-600466,30,18,5,80,20,14,46,9
sh-600486,30,18,5,80,30,22,48,19
sh-600497,21,18,5,80,20,18,38,17
sh-600500,30,18,5,80,20,22,48,19
sh-600507,30,18,5,80,20,12,26,9
sh-600511,30,18,5,80,20,16,34,11
sh-600515,30,18,5,80,20,12,28,9
sh-600516,21,18,5,80,20,14,30,11
sh-600517,14,18,5,80,20,12,30,11
sh-600528,14,18,5,80,30,12,26,9
sh-600529,14,18,5,80,25,14,30,13
sh-600535,30,14,3,80,30,12,26,9
sh-600545,21,18,5,80,25,16,46,13
sh-600546,21,18,5,80,20,18,46,17
sh-600549,14,18,5,80,20,22,48,19
sh-600556,21,18,5,80,25,12,34,9
sh-600563,30,18,5,80,30,22,48,19
sh-600566,30,18,5,80,30,22,48,19
sh-600567,30,18,5,80,20,20,46,19
sh-600572,30,18,5,80,25,14,30,9
sh-600575,21,18,5,80,20,22,46,17
sh-600580,14,18,5,80,20,12,34,9
sh-600582,30,18,5,80,25,12,46,9
sh-600597,30,18,5,80,25,20,46,19
sh-600598,30,18,5,80,20,12,30,9
sh-600623,14,18,5,80,20,18,44,17
sh-600633,14,18,5,80,20,22,48,19
sh-600639,30,18,5,80,25,12,26,9
sh-600640,14,18,5,80,25,12,40,9
sh-600642,30,18,5,80,20,12,26,11
sh-600643,21,18,5,80,20,12,32,9
sh-600645,14,18,5,80,20,20,48,17
sh-600648,30,18,5,80,25,14,38,9
sh-600649,30,18,5,80,25,14,48,9
sh-600657,30,18,5,80,30,14,30,13
sh-600664,14,18,5,80,20,16,36,15
sh-600667,21,18,5,70,30,12,28,9
sh-600673,30,18,5,80,20,22,48,19
sh-600675,30,18,5,80,20,20,42,9
sh-600699,21,18,5,80,20,12,26,9
sh-600704,30,18,5,80,20,22,48,19
sh-600707,21,18,5,80,20,12,46,9
sh-600717,30,18,5,80,20,12,34,9
sh-600718,14,18,5,80,25,18,48,15
sh-600728,21,18,5,80,20,12,44,9
sh-600729,21,18,5,80,20,20,42,17
sh-600733,14,18,5,80,20,22,48,19
sh-600737,14,18,5,80,25,20,48,19
sh-600739,14,18,5,80,25,12,26,11
sh-600748,30,18,5,80,20,12,46,9
sh-600754,30,18,5,80,25,12,26,11
sh-600755,30,18,5,80,25,12,26,9
sh-600765,30,18,5,80,20,18,40,17
sh-600776,14,14,3,70,20,16,46,13
sh-600779,14,18,5,80,25,22,46,19
sh-600782,30,18,5,80,20,12,32,9
sh-600787,30,18,5,80,20,12,28,9
sh-600801,30,18,5,80,20,18,48,13
sh-600804,30,18,5,75,25,12,32,9
sh-600808,30,18,5,80,25,14,42,11
sh-600811,21,18,5,80,20,14,32,9
sh-600820,30,18,5,80,20,14,42,13
sh-600823,21,18,5,80,20,14,36,9
sh-600827,30,18,5,80,20,18,46,9
sh-600835,14,18,5,80,20,22,48,19
