ticker,bb_window,rsi_window,rsi_smooth_window,rsi_upper_thres,rsi_lower_thres,macd_fast_ma_length,macd_slow_ma_length,macd_signal_ma_length
sh-600006,30,14,3,70,30,12,26,9
sh-600008,30,14,3,70,30,12,26,9
sh-600021,30,14,3,70,30,12,26,9
sh-600022,30,14,3,70,30,12,26,9
sh-600026,30,14,3,70,30,12,26,9
sh-600037,30,14,3,70,30,12,26,9
sh-600038,30,14,3,70,30,12,26,9
sh-600039,30,14,3,70,30,12,26,9
sh-600053,30,14,3,70,30,12,26,9
sh-600056,30,14,3,70,30,12,26,9
sh-600060,30,14,3,70,30,12,26,9
sh-600062,30,14,3,70,30,12,26,9
sh-600064,30,14,3,70,30,12,26,9
sh-600073,30,14,3,70,30,12,26,9
sh-600079,30,14,3,70,30,12,26,9
sh-600089,30,14,3,70,30,12,26,9
sh-600094,30,14,3,70,30,12,26,9
sh-600120,30,14,3,70,30,12,26,9
sh-600126,30,14,3,70,30,12,26,9
sh-600131,30,14,3,70,30,12,26,9
sh-600132,30,14,3,70,30,12,26,9
sh-600141,30,14,3,70,30,12,26,9
sh-600143,30,14,3,70,30,12,26,9
sh-600153,30,14,3,70,30,12,26,9
sh-600155,30,14,3,70,30,12,26,9
sh-600158,30,14,3,70,30,12,26,9
sh-600160,30,14,3,70,30,12,26,9
sh-600166,30,14,3,70,30,12,26,9
sh-600167,30,14,3,70,30,12,26,9
sh-600170,30,14,3,70,30,12,26,9
sh-600171,30,14,3,70,30,12,26,9
sh-600188,30,14,3,70,30,12,26,9
sh-600195,30,14,3,70,30,12,26,9
sh-600201,30,14,3,70,30,12,26,9
sh-600216,30,14,3,70,30,12,26,9
sh-600219,30,14,3,70,30,12,26,9
sh-600256,30,14,3,70,30,12,26,9
sh-600258,30,14,3,70,30,12,26,9
sh-600259,30,14,3,70,30,12,26,9
sh-600260,30,14,3,70,30,12,26,9
sh-600266,30,14,3,70,30,12,26,9
sh-600273,30,14,3,70,30,12,26,9
sh-600277,30,14,3,70,30,12,26,9
sh-600282,30,14,3,70,30,12,26,9
sh-600291,30,14,3,70,30,12,26,9
sh-600307,30,14,3,70,30,12,26,9
sh-600312,30,14,3,70,30,12,26,9
sh-600315,30,14,3,70,30,12,26,9
sh-600316,30,14,3,70,30,12,26,9
sh-600325,30,14,3,70,30,12,26,9
sh-600329,30,14,3,70,30,12,26,9
sh-600338,30,14,3,70,30,12,26,9
sh-600339,30,14,3,70,30,12,26,9
sh-600348,30,14,3,70,30,12,26,9
sh-600350,30,14,3,70,30,12,26,9
sh-600372,30,14,3,70,30,12,26,9
sh-600373,30,14,3,70,30,12,26,9
sh-600376,30,14,3,70,30,12,26,9
sh-600380,30,14,3,70,30,12,26,9
sh-600388,30,14,3,70,30,12,26,9
sh-600392,30,14,3,70,30,12,26,9
sh-600398,30,14,3,70,30,12,26,9
sh-600409,30,14,3,70,30,12,26,9
sh-600410,30,14,3,70,30,12,26,9
sh-600415,30,14,3,70,30,12,26,9
sh-600418,30,14,3,70,30,12,26,9
sh-600426,30,14,3,70,30,12,26,9
sh-600435,30,14,3,70,30,12,26,9
sh-600446,30,14,3,70,30,12,26,9
sh-600460,30,14,3,70,30,12,26,9
sh-600466,30,14,3,70,30,12,26,9
sh-600486,30,14,3,70,30,12,26,9
sh-600497,30,14,3,70,30,12,26,9
sh-600500,30,14,3,70,30,12,26,9
sh-600507,30,14,3,70,30,12,26,9
sh-600511,30,14,3,70,30,12,26,9
sh-600515,30,14,3,70,30,12,26,9
sh-600516,30,14,3,70,30,12,26,9
sh-600517,30,14,3,70,30,12,26,9
sh-600528,30,14,3,70,30,12,26,9
sh-600529,30,14,3,70,30,12,26,9
sh-600535,30,14,3,70,30,12,26,9
sh-600545,30,14,3,70,30,12,26,9
sh-600546,30,14,3,70,30,12,26,9
sh-600549,30,14,3,70,30,12,26,9
sh-600556,30,14,3,70,30,12,26,9
sh-600563,30,14,3,70,30,12,26,9
sh-600566,30,14,3,70,30,12,26,9
sh-600567,30,14,3,70,30,12,26,9
sh-600572,30,14,3,70,30,12,26,9
sh-600575,30,14,3,70,30,12,26,9
sh-600580,30,14,3,70,30,12,26,9
sh-600582,30,14,3,70,30,12,26,9
sh-600597,30,14,3,70,30,12,26,9
sh-600598,30,14,3,70,30,12,26,9
sh-600623,30,14,3,70,30,12,26,9
sh-600633,30,14,3,70,30,12,26,9
sh-600639,30,14,3,70,30,12,26,9
sh-600640,30,14,3,70,30,12,26,9
sh-600642,30,14,3,70,30,12,26,9
sh-600643,30,14,3,70,30,12,26,9
sh-600645,30,14,3,70,30,12,26,9
sh-600648,30,14,3,70,30,12,26,9
sh-600649,30,14,3,70,30,12,26,9
sh-600657,30,14,3,70,30,12,26,9
sh-600664,30,14,3,70,30,12,26,9
sh-600667,30,14,3,70,30,12,26,9
sh-600673,30,14,3,70,30,12,26,9
sh-600675,30,14,3,70,30,12,26,9
sh-600699,30,14,3,70,30,12,26,9
sh-600704,30,14,3,70,30,12,26,9
sh-600707,30,14,3,70,30,12,26,9
sh-600717,30,14,3,70,30,12,26,9
sh-600718,30,14,3,70,30,12,26,9
sh-600728,30,14,3,70,30,12,26,9
sh-600729,30,14,3,70,30,12,26,9
sh-600733,30,14,3,70,30,12,26,9
sh-600737,30,14,3,70,30,12,26,9
sh-600739,30,14,3,70,30,12,26,9
sh-600748,30,14,3,70,30,12,26,9
sh-600754,30,14,3,70,30,12,26,9
sh-600755,30,14,3,70,30,12,26,9
sh-600765,30,14,3,70,30,12,26,9
sh-600776,30,14,3,70,30,12,26,9
sh-600779,30,14,3,70,30,12,26,9
sh-600782,30,14,3,70,30,12,26,9
sh-600787,30,14,3,70,30,12,26,9
sh-600801,30,14,3,70,30,12,26,9
sh-600804,30,14,3,70,30,12,26,9
sh-600808,30,14,3,70,30,12,26,9
sh-600811,30,14,3,70,30,12,26,9
sh-600820,30,14,3,70,30,12,26,9
sh-600823,30,14,3,70,30,12,26,9
sh-600827,30,14,3,70,30,12,26,9
sh-600835,30,14,3,70,30,12,26,9
sh-600839,30,14,3,70,30,12,26,9
sh-600859,30,14,3,70,30,12,26,9
sh-600862,30,14,3,70,30,12,26,9
sh-600863,30,14,3,70,30,12,26,9
sh-600867,30,14,3,70,30,12,26,9
sh-600869,30,14,3,70,30,12,26,9
