ticker,return,buy and hold return,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,Num Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,plot_path
sh-600895,-0.31600000000000367,-8.991228070175442,-0.43547742708749393,-0.30773871354374815,348.0,175.0,1.0,0.0,-2.8519855595667942,-2.8519855595667942,-2.8519855595667942,7.0,7.0,./results/plots/./data/raw/insample\history_stock_sh-600895.csv.html
sz-002268,-2.08,-6.432621020497171,-2.080000000000004,-2.080000000000004,352.0,352.0,1.0,0.0,-6.524466750313673,-6.524466750313673,-6.524466750313673,7.0,7.0,./results/plots/./data/raw/insample\history_stock_sz-002268.csv.html
sz-002957,0.0,7.6366030283081106,-0.0,,,,0.0,,,,,,,./results/plots/./data/raw/insample\history_stock_sz-002957.csv.html
sz-002223,-0.5925,-6.927820094305405,-1.3814484126984161,-0.8751524787049048,362.0,183.0,1.0,0.0,-2.42034313725491,-2.42034313725491,-2.42034313725491,7.0,7.0,./results/plots/./data/raw/insample\history_stock_sz-002223.csv.html
sh-603885,-0.3235000000000037,31.409788166544917,-0.6414473684210553,-0.6414473684210553,362.0,362.0,1.0,0.0,-2.5000000000000133,-2.5000000000000133,-2.5000000000000133,5.0,5.0,./results/plots/./data/raw/insample\history_stock_sh-603885.csv.html
sh-603927,0.0,-9.29599377674057,-0.0,,,,0.0,,,,,,,./results/plots/./data/raw/insample\history_stock_sh-603927.csv.html
sh-600022,0.24,2.9585798816568074,-0.05991611743558778,-0.02932279665862139,91.0,19.5,1.0,100.0,16.10738255033557,16.10738255033557,16.10738255033557,341.0,341.0,./results/plots/./data/raw/insample\history_stock_sh-600022.csv.html
sh-603786,0.0,28.53862212943633,-0.0,,,,0.0,,,,,,,./results/plots/./data/raw/insample\history_stock_sh-603786.csv.html
sh-600094,-0.09049999999999273,-13.647058823529413,-0.22021372216117774,-0.10000499051323053,360.0,91.5,1.0,0.0,-2.8018575851393224,-2.8018575851393224,-2.8018575851393224,8.0,8.0,./results/plots/./data/raw/insample\history_stock_sh-600094.csv.html
sz-002595,3.1300000000000003,16.90214547357405,-1.6322940084058213,-0.3535312648486901,69.0,14.461538461538462,1.0,100.0,16.184074457083764,16.184074457083764,16.184074457083764,207.0,207.0,./results/plots/./data/raw/insample\history_stock_sz-002595.csv.html
sh-600372,-0.455,4.924242424242425,-0.4550000000000054,-0.4550000000000054,359.0,359.0,1.0,0.0,-2.6119402985074758,-2.6119402985074758,-2.6119402985074758,7.0,7.0,./results/plots/./data/raw/insample\history_stock_sh-600372.csv.html
sh-601005,0.25,1.0582010582010593,-0.11974852809101266,-0.0471500656821646,93.0,29.545454545454547,1.0,100.0,15.243902439024382,15.243902439024382,15.243902439024382,341.0,341.0,./results/plots/./data/raw/insample\history_stock_sh-601005.csv.html
sh-600516,-0.17600000000000363,-10.27154663518301,-0.2458279204556879,-0.2458279204556879,353.0,353.0,1.0,0.0,-2.646616541353397,-2.646616541353397,-2.646616541353397,3.0,3.0,./results/plots/./data/raw/insample\history_stock_sh-600516.csv.html
sz-002174,0.0,-11.34301270417423,-0.0,,,,0.0,,,,,,,./results/plots/./data/raw/insample\history_stock_sz-002174.csv.html
sz-002399,5.5484999999999856,21.157822191591997,-1.3277485110590015,-0.5379237072072319,128.0,35.083333333333336,5.0,20.0,62.844036697247695,-2.6406926406926434,8.002208525301002,341.0,73.6,./results/plots/./data/raw/insample\history_stock_sz-002399.csv.html
sh-600563,0.0,3.3395456606054474,-0.0,,,,0.0,,,,,,,./results/plots/./data/raw/insample\history_stock_sh-600563.csv.html
sz-002051,-0.19325000000000728,7.768187422934658,-0.9755432086516636,-0.2945150062659474,166.0,40.6,1.0,0.0,-2.2708578143360802,-2.2708578143360802,-2.2708578143360802,130.0,130.0,./results/plots/./data/raw/insample\history_stock_sz-002051.csv.html
sh-600511,0.0,-6.527050610820235,-0.0,,,,0.0,,,,,,,./results/plots/./data/raw/insample\history_stock_sh-600511.csv.html
