ticker,return,buy and hold return,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,Num Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,plot_path
sh-600528,-0.09,5.159705159705159,-0.36915095280853905,-0.124765265166632,56.0,17.25,1.0,0.0,-1.038062283737018,-1.038062283737018,-1.038062283737018,70.0,70.0,./results/plots/./data/raw/outsample\history_stock_sh-600528.csv.html
sz-002653,-1.0699999999999998,-4.225352112676043,-2.0321173671689174,-2.0321173671689174,141.0,141.0,3.0,0.0,-0.49474335188621765,-3.2635467980295374,-2.169526835517599,49.0,25.0,./results/plots/./data/raw/outsample\history_stock_sz-002653.csv.html
sz-000930,-0.12,-5.343511450381682,-0.33999999999999586,-0.33999999999999586,130.0,130.0,2.0,50.0,0.11520737327188613,-1.4541387024608388,-0.6725650206307776,83.0,53.0,./results/plots/./data/raw/outsample\history_stock_sz-000930.csv.html
sz-002221,-0.4,-10.248112189859755,-0.7199999999999984,-0.7199999999999984,86.0,86.0,1.0,0.0,-4.571428571428571,-4.571428571428571,-4.571428571428571,85.0,85.0,./results/plots/./data/raw/outsample\history_stock_sz-002221.csv.html
sh-601611,0.06,-1.4234875444839765,-0.3783353245718879,-0.129586107667982,67.0,24.666666666666668,2.0,50.0,3.415783274440498,-2.6900584795321647,0.31641851027766066,61.0,50.0,./results/plots/./data/raw/outsample\history_stock_sh-601611.csv.html
sz-000078,-0.02,-1.9444444444444524,-0.24942631946522908,-0.11646544282084559,117.0,51.666666666666664,3.0,33.33333333333333,3.08988764044944,-2.4861878453038777,-0.19501836209789847,63.0,32.333333333333336,./results/plots/./data/raw/outsample\history_stock_sz-000078.csv.html
sh-601333,-0.06,-5.479452054794526,-0.07998400319936261,-0.056661334399784234,99.0,46.666666666666664,2.0,0.0,-0.92592592592593,-1.904761904761909,-1.4165587668925395,75.0,62.5,./results/plots/./data/raw/outsample\history_stock_sh-601333.csv.html
sh-603888,0.19,-1.4076246334310967,-0.4496852203457524,-0.19478884146472975,62.0,18.0,1.0,100.0,1.120943952802378,1.120943952802378,1.120943952802378,99.0,99.0,./results/plots/./data/raw/outsample\history_stock_sh-603888.csv.html
sz-000681,-0.27,-9.608540925266913,-0.6995802518488858,-0.3796776504485103,63.0,41.333333333333336,2.0,0.0,-0.6201550387596955,-1.4570552147239235,-1.0394898215212334,74.0,47.0,./results/plots/./data/raw/outsample\history_stock_sz-000681.csv.html
sz-000553,-1.1400000000000001,-12.671509281678775,-1.3979031452820756,-1.3979031452820756,124.0,124.0,2.0,0.0,-4.159292035398233,-5.663567202028741,-4.9144043179376045,79.0,57.5,./results/plots/./data/raw/outsample\history_stock_sz-000553.csv.html
sh-600839,-0.02,1.0169491525423662,-0.099930048965724,-0.06995103427600569,144.0,74.5,3.0,33.33333333333333,0.3311258278145601,-0.6622516556291425,-0.2253886069400357,22.0,15.666666666666666,./results/plots/./data/raw/outsample\history_stock_sh-600839.csv.html
sh-600835,1.8900000000000001,13.426265590608951,-1.3000000000000012,-0.5494498894629645,105.0,38.666666666666664,1.0,100.0,13.927781871775991,13.927781871775991,13.927781871775991,123.0,123.0,./results/plots/./data/raw/outsample\history_stock_sh-600835.csv.html
sz-002038,-0.04,-1.4507772020725447,-0.5998800239952029,-0.4895418481417002,82.0,58.5,1.0,0.0,-0.4132231404958553,-0.4132231404958553,-0.4132231404958553,109.0,109.0,./results/plots/./data/raw/outsample\history_stock_sz-002038.csv.html
sh-600170,0.04,-3.6184210526315748,-0.0699580251848908,-0.022849718369082655,103.0,18.428571428571427,2.0,100.0,0.6849315068493178,0.6666666666666599,0.6757986725516973,68.0,52.5,./results/plots/./data/raw/outsample\history_stock_sh-600170.csv.html
sz-001914,-1.1199999999999999,-11.663066954643629,-1.527860994607555,-0.682620331535851,100.0,44.333333333333336,1.0,0.0,-6.3564131668558455,-6.3564131668558455,-6.3564131668558455,132.0,132.0,./results/plots/./data/raw/outsample\history_stock_sz-001914.csv.html
sh-600022,-0.09,-2.890173410404627,-0.11999999999999789,-0.11999999999999789,150.0,150.0,2.0,0.0,-1.7142857142857126,-3.4682080924855474,-2.59519457999009,108.0,67.5,./results/plots/./data/raw/outsample\history_stock_sh-600022.csv.html
sz-000717,-0.04,-2.011494252873559,-0.22999999999999687,-0.22999999999999687,110.0,110.0,2.0,50.0,0.5899705014749346,-1.7341040462427793,-0.5788575036001498,63.0,43.0,./results/plots/./data/raw/outsample\history_stock_sz-000717.csv.html
sh-603927,-0.02,0.7765314926660902,-0.44896737503741235,-0.32443371250621134,126.0,65.5,1.0,0.0,-0.08733624454148048,-0.08733624454148048,-0.08733624454148048,50.0,50.0,./results/plots/./data/raw/outsample\history_stock_sh-603927.csv.html
sz-002382,-0.63,-7.5052854122621655,-1.0795681727309048,-0.5897840863654524,118.0,61.5,1.0,0.0,-6.673728813559309,-6.673728813559309,-6.673728813559309,120.0,120.0,./results/plots/./data/raw/outsample\history_stock_sz-002382.csv.html
sz-000932,-0.4,-10.276679841897225,-0.43999999999999595,-0.43999999999999595,103.0,103.0,1.0,0.0,-8.097165991902845,-8.097165991902845,-8.097165991902845,103.0,103.0,./results/plots/./data/raw/outsample\history_stock_sz-000932.csv.html
sz-002434,0.73,20.28301886792451,-0.38568037974683334,-0.14473575438668007,70.0,19.0,1.0,100.0,8.286038592508493,8.286038592508493,8.286038592508493,37.0,37.0,./results/plots/./data/raw/outsample\history_stock_sz-002434.csv.html
